"Find","Qty","Ref Des","Part Number"
"1","1","BOARD2","COUPON"
"2","4","C1, C2, C7, C8","[https://www.mouser.com/ProductDetail/75-1C10Z5U104M050B 0.1uF]"
"3","2","C3, C5","[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 47nF]"
"4","2","C4, C6","[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 47uF]"
"5","1","D1","[https://www.mouser.com/ProductDetail/863-MBR0530T1G MBR0520T1J]"
"6","1","D2","[https://www.mouser.com/ProductDetail/583-1N5819-T 1N5819]"
"7","1","J1","Conn_01x05"
"8","2","J2, J3","Socket, Female. 1x20"
"9","1","J4","Conn_01x02"
"10","1","J5","Header, Vert, 2x2"
"11","1","J6","Header, Vert, 2x8"
"12","1","J7","Header, Vert, 2x3"
"13","1","J8","[https://www.mouser.com/datasheet/2/670/sj1_352xn-1779157.pdf AudioJack3]"
"14","1","J9","[https://www.mouser.com/datasheet/2/123/English_634_Ordering_Guide-1830723.pdf CONN, DB15HD, BLUE (VGA)]"
"15","1","J10","[https://www.mouser.com/datasheet/2/670/uj2_bh_th-1779177.pdf USB-B]"
"16","1","J11","[https://www.mouser.com/datasheet/2/222/KMDGX-334716.pdf PS2_DIN6]"
"17","1","P1","[https://www.mouser.com/ProductDetail/649-D37S33E4GV00LF DB37]"
"18","7","R1, R2, R3, R5, R10, R12, R15","[https://www.mouser.com/ProductDetail/299-2.2K-RC 2.2K]"
"19","2","R4, R9","[https://www.mouser.com/ProductDetail/Ohmite/OJ2715E-R52?qs=AkUtuiJmyfl8miHDMWB4Gg%3D%3D 270]"
"20","1","R6","[https://www.mouser.com/ProductDetail/Xicon/299-360-RC?qs=4SEauRHMWrgg5PAiO238Jg%3D%3D 390]"
"21","1","R7","[https://www.mouser.com/ProductDetail/Xicon/299-750-RC?qs=r3p0CtoijEudY32yxHjb0Q%3D%3D 820]"
"22","2","R8, R13","[https://www.mouser.com/ProductDetail/Xicon/299-1K-RC?qs=LFVzBv9lGv703mrPrUE94Q%3D%3D 1K]"
"23","2","R11, R14","[https://www.mouser.com/ProductDetail/Ohmite/OJ4705E-R52?qs=AkUtuiJmyfnsNaojPyuOog%3D%3D 47]"
"24","2","R16, R17","[https://www.mouser.com/ProductDetail/Xicon/299-10K-AP-RC?qs=prMBRl6N7VTb%2FbWyGMcQ7w%3D%3D 10K]"
"25","1","SD1","[https://www.mouser.com/ProductDetail/523-GMC020080HR Conn, SD Card]"
"26","1","TEST1","COUPON"
"27","1","U1","[https://www.adafruit.com/product/4864 RPi-PICO]"
"28","2","U2, U4","[http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf MCP23017_SP]"
"29","1","U3","[https://www.mouser.com/ProductDetail/595-TXS0104EDR TXS0104]"
