PSOC Pin ,"RPI Function 
Python GPIO ",RPI Pin ,x,RPI Pin ,"RPI Function 
Python GPIO ",PSOC Pin 
POWER ,+3.3V ,1,,2,+5V ,POWER 
P12[5] = SDA (I2C0) ,GPIO2/SDA1 ,3,,4,+5V ,POWER 
P12[4] = SCL (I2C0) ,GPIO3/SCLK1 ,5,,6,GND ,POWER 
P5[5] ,GPIO4 ,7,,8,GPIO14/TXD0 ,P12[7] 
POWER ,GND ,9,,10,GPIO15/RXD0 ,P12[6] 
P1[7] ,GPIO17 ,11,,12,GPIO18 ,P1[6] 
P1[5] ,GPIO27 ,13,,14,GND ,POWER 
SWD-RESET ,GPIO22 ,15,,16,GPIO23 ,SWD-CLK 
POWER ,+3.3V ,17,,18,GPIO24 ,SWD-DIO 
P6[7] ,GPIO10/SPI_MOSI ,19,,20,GND ,POWER 
P6[6] ,GPIO9/SPI_MISO ,21,,22,GPIO25 ,P5[0] 
P6[5] ,GPIO11/SPI_SCLK ,23,,24,GPIO8/SPI_CE0 ,P6[4] 
POWER ,GND ,25,,26,GPIO7/SPI_CE1 ,P5[7] 
EEPROM ,ID_SDA ,27,,28,ID_SCL ,EEPROM 
P5[6] ,GPIO5 ,29,,30,GND ,POWER 
P2[7] ,GPIO6 ,31,,32,GPIO12 ,P2[6] 
P2[5] ,GPIO13 ,33,,34,GND ,POWER 
P2[3] ,GPIO19 ,35,,36,GPIO16 ,P2[4] 
P2[1] ,GPIO26 ,37,,38,GPIO20 ,P2[2] 
POWER ,GND ,39,,40,GPIO21 ,P2[0] 
