Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
3,0.1uF,",C2,C3",SM0805,N/A,N/A,N/A,N/A
1,1K,R6,SM0805,N/A,N/A,N/A,N/A
2,3.9K,"R1,R2",SM0805,N/A,N/A,N/A,N/A
1,24C512,U1,SO8E-wider,N/A,N/A,N/A,N/A
1,TXB0108,U2,SOG20,N/A,N/A,N/A,N/A
2,FUSE,"F1,F2",SM1206,N/A,N/A,N/A,N/A
1,CONN_2,J22,PIN_ARRAY_2X1,N/A,N/A,N/A,N/A
25,CONN_3,"J3-J9,J12-J21,J25-J32,",PIN_ARRAY_3X1,N/A,N/A,N/A,N/A
2,CONN_4,"J1,J2",PIN_ARRAY_4x1,N/A,N/A,N/A,N/A
2,CONN_6,"J10,J11",PIN_ARRAY-6X1,N/A,N/A,N/A,N/A
1,CONN_8,J23,PIN_ARRAY-8X1,N/A,N/A,N/A,N/A
1,RASPIOPLUS,J24,PIN_ARRAY_20X2,N/A,N/A,N/A,N/A
