Mouser #,Mfr. #,Manufacturer,Customer #,Description,Price (USD)
774-MXO45-2C-1M0000,MXO45-2C-1M0000,CTS,OSC_1.0MHz,Standard Clock Oscillators 0001.000000 MHZ Hybrid Circuit,$1.61
774-MXO45-3C-1.8,MXO45-3C-1M8432,CTS,OSC_1.8MHz,Standard Clock Oscillators 1.84320 MHz,$3.25
774-MXO45-3C-2.0,MXO45-3C-2M0000,CTS,OSC_2.0MHz,Standard Clock Oscillators 2.00000 MHz,$2.27
556-AF16V8B15PU,ATF16V8B-15PU,Microchip,PLD,EEPLD - Electronically Erasable Programmable Logic Devices15 ns 20 I/O Pins 8 macrocells 8 reg,$1.22
700-DS1813-5T&R,DS1813-5+T&R,Analog Devices Inc.,PWR_MON,Supervisory Circuits 5V EconoReset with Pushbutton,$3.70
535-1107741,1107741,Aries Electronics,SKT_04_DIP,IC & Component Sockets OSCILLATOR FULL 4PIN,$0.991
575-199320,110-99-320-41-001000,Mill-Max,SKT_20_DIP,IC & Component Sockets 20P TIN PIN TIN CONT,$1.17
575-11044628,110-44-628-41-001000,Mill-Max,SKT_28_DIP,IC & Component Sockets 28P TIN PIN TIN CONT,$1.63
575-1144632,110-44-632-41-001000,Mill-Max,SKT_32_DIP,IC & Component Sockets 32P TIN PIN TIN CONT,$2.27
575-11044640,110-44-640-41-001000,Mill-Max,SKT_40_DIP,IC & Component Sockets 40P TIN PIN TIN CONT,$2.61
517-4848-6000-CP,4848-6000-CP,3M,SKT_48_DIP,IC & Component Sockets 48P DUAL WIPE DIPSKT,$1.23
652-4610X-1LF-10K,4610X-101-103LF,Bourns,,Resistor Networks & Arrays 10pins 10Kohms Bussed,$0.214
