27512,27256,27128,2764,28C64,PIN,,PIN,2764,28C64,27128,27256,27512
A15,VPP,VPP,VPP,N/C,1,,28,VCC,VCC,VCC,VCC,VCC
A12,A12,A12,A12,A12,2,,27,PGM,WE*,PGM,A14,A14
A7,A7,A7,A7,A7,3,,26,A13,N/C,A13,A13,A13
A6,A6,A6,A6,A6,4,,25,A8,A8,,A8,A8
A5,A5,A5,A5,A5,5,,24,A9,A9,,A9,A9
A4,A4,A4,A4,A4,6,,23,A11,A11,,A11,A11
A3,A3,A3,A3,A3,7,,22,OE*,OE*,,OE*,OE*
A2,A2,A2,A2,A2,8,,21,A10,A10,,A10,A10
A1,A1,A1,A1,A1,9,,20,CE*,CE*,,CE*,CE*
A0,A0,A0,A0,A0,10,,19,D7,D7,,D7,D7
D0,D0,D0,D0,D0,11,,18,D6,D6,,D6,D6
D1,D1,D1,D1,D1,12,,17,D5,D5,,D5,D5
D2,D2,D2,D2,D2,13,,16,D4,D4,,D4,D4
GND,GND,GND,GND,GND,14,,15,D3,D3,,D3,D3
