BKPL,,,CPU6502,CPUZ80,CPU6809,CPU6802,,MEM-02,68B50
Pin,BKPL Signal,Dir from CPU,Pin Descr,Pin Descr,Pin Descr,Pin Descr,,Used,Used
1,Vcc,PWR,Vcc,Vcc,Vcc,Vcc,,X,X
2,Vcc,PWR,Vcc,Vcc,Vcc,Vcc,,X,X
3,CPUA22,OUT,NC,NC,NC,NC,,X,X
4,CPUA23,OUT,NC,NC,NC,NC,,X,X
4,CPUA20,OUT,NC,NC,NC,NC,,X,X
5,CPUA21,OUT,NC,NC,NC,NC,,X,X
7,CPUA18,OUT,NC,NC,NC,NC,,X,X
8,CPUA19,OUT,NC,NC,NC,NC,,X,X
9,CPUA16,OUT,NC,NC,NC,NC,,X,X
10,CPUA17,OUT,NC,NC,NC,NC,,X,X
11,CPUA14,OUT,A14,A14,A14,A14,,X,X
12,CPUA15,OUT,A15,A15,A15,A15,,X,X
13,CPUA12,OUT,A12,A12,A12,A12,,X,X
14,CPUA13,OUT,A13,A13,A13,A13,,X,X
15,CPUA10,OUT,A10,A10,A10,A10,,X,X
16,CPUA11,OUT,A11,A11,A11,A11,,X,X
17,CPUA8,OUT,A8,A8,A8,A8,,X,X
18,CPUA9,OUT,A9,A9,A9,A9,,X,X
19,CPUA6,OUT,A6,A6,A6,A6,,X,X
20,CPUA7,OUT,A7,A7,A7,A7,,X,X
21,CPUA4,OUT,A4,A4,A4,A4,,X,X
22,CPUA5,OUT,A5,A5,A5,A5,,X,X
23,CPUA2,OUT,A2,A2,A2,A2,,X,X
24,CPUA3,OUT,A3,A3,A3,A3,,X,X
25,CPUA0,OUT,A0,A0,A0,A0,,X,X
26,CPUA1,OUT,A1,A1,A1,A1,,X,X
27,CPUD0,BIDIR,D0,D0,D0,D0,,X,X
28,CPUD7,BIDIR,D7,D7,D7,D7,,X,X
29,CPUD1,BIDIR,D1,D1,D1,D1,,X,X
30,CPUD6,BIDIR,D6,D6,D6,D6,,X,X
31,CPUD2,BIDIR,D2,D2,D2,D2,,X,X
32,CPUD5,BIDIR,D5,D5,D5,D5,,X,X
33,CPUD3,BIDIR,D3,D3,D3,D3,,X,X
34,CPUD4,BIDIR,D4,D4,D4,D4,,X,X
35,MEMRD*,OUT,PLD_OUT,PLD_OUT,PLD_OUT,PLD_OUT,,X,-
36,RAMCS*,OUT,PLD_OUT,PLD_OUT,PLD_OUT,PLD_OUT,,X,-
37,IOCS*,OUT,PLD_OUT,PLD_OUT,PLD_OUT,PLD_OUT,,X,X
38,ROMCS*,OUT,PLD_OUT,PLD_OUT,PLD_OUT,PLD_OUT,,X,-
39,GND,PWR,GND,GND,GND,GND,,X,X
40,GND,PWR,GND,GND,GND,GND,,X,X
41,CPUCLK,OUT,CPUCLK,CPUCLK,CPUCLK,CPUCLK,,NC,X
42,VPA/SYNC,OUT,SYNC,RFSH,BA,VMA,,NC,-
43,IRQB*,IN/PUP,IRQB*,INT*,IRQB*,IRQB*,,NC,X
44,VPB,GND,GND,M1*,E,E,,NC,-
45,NMIB*,IN/PUP,NMIB*,NMI*,NMIB*,NMIB*,,NC,-
46,CPURESB*,OUT/PUP,CPURESB*,CPURST*,CPURESB*,CPURESB*,,NC,
47,ABORT*/PH1OUT,OUT,PH1OUT,HALT*,HALT*,HALT*,,NC,
48,MLB,OUT,NC/MLB,BUSRQ*,FIRQ*,,,NC,
49,VDA/PH2OUT,OUT,PH2OUT,MREQ*,BS,VMA,,NC,
50,RDY,OUT,RDY,WAIT*,MRDY,MR,,NC,
51,IORQ* (BE),IN/NC,NC/BE,IORQ*,,,,NC,
52,CPUE,NC,NC/E,BUSACK*,DMA/BREW*,RE,,NC,
53,CPUMX,IN/PUP,SO/MX,CPURD*,CPUMX,,,NC,
54,RWB,OUT,R/W*,CPUWR*,CPUWR*,CPUWR*,,NC,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
63,,,,,,,,,
64,,,,,,,,,
