"Find","Qty","Ref Des","Part Number"
"1","4","C1, C2, C3, C4","[https://www.mouser.com/ProductDetail/710-860020672005 1uF]"
"2","1","C5","47uF"
"3","1","C6","[https://www.mouser.com/ProductDetail/TDK/FG18C0G1H271JNT00?qs=vNwBHymccZ%2FxLVdLN%2FZvBg%3D%3D 270pF]"
"4","7","C7, C8, C9, C10, C11, C12, C13","0.1uF"
"5","1","J1","[https://www.mouser.com/ProductDetail/649-D09P13B4PA00LF DB9_Male]"
"6","1","J2","HEADER, STRT, 1X3"
"7","1","J3","HEADER, STRT, 1X6"
"8","1","J4","HEADER, STRT, 2X4"
"9","2","J5, J6","JUMPER (1X3)"
"10","1","JP1","JMP_NOT_W65C02"
"12","7","R1, R4, R5, R6, R7, R8, R9","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 2.7K]"
"13","2","R2, R3","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 2.2K]"
"14","1","SW1","PUSHBUTTON, 6MM"
"15","1","U1","[http://www.ti.com/lit/ds/symlink/max232.pdf MAX232]"
"16","1","U2","[https://www.mouser.com/ProductDetail/Alliance-Memory/AS6C62256-55PCN?qs=LD2UibpCYJqgbIupMJnGTQ%3D%3D AS6C62256-55PCN]"
"17","1","U3","[https://www.jameco.com/Jameco/Products/ProdDS/43633.pdf MC68B50]"
"18","1","U4","[http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf 27C512]"
"19","1","U5","65C02"
"20","1","U6","[https://www.mouser.com/ProductDetail/595-SN74HC00AN 74HC00]"
"21","1","U7","[https://www.mouser.com/ProductDetail/Texas-Instruments/SN74HC04AN?qs=byeeYqUIh0N6S9uYkR6RCw%3D%3D 74HC04]"
"22","1","U8","[https://www.mouser.com/ProductDetail/595-SN74HC74N 74HC74]"
"23","1","U9","[https://www.mouser.com/c/?q=DS1813-5 DS1813-5]"
"24","1","Y1","[https://www.mouser.com/ProductDetail/815-AB-1.8432-B2 1.8432 MHz]"
