Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,4,"C1, C2, C3, C4",[https://www.mouser.com/ProductDetail/710-860020672005 1uF],,11,1,U2,[www.zilog.com/manage_directlink.php?filepath=docs/z80/um0080 Z80CPU]
2,2,"C5, C6",22pF,,12,1,U3,[https://www.jameco.com/Jameco/Products/ProdDS/43633.pdf MC68B50]
3,7,"C7, C8, C9, C10, C11, C12, C13",0.1uF,,13,1,U4,[http://www.futurlec.com/Datasheet/Memory/628128.pdf AS6C1008-55PCN]
4,1,C14,47uF,,14,1,U5,[http://www.ti.com/lit/gpn/sn74LS04 74HCT04]
5,5,"R1, R4, R5, R6, R7",[https://www.mouser.com/ProductDetail/Xicon/299-2.7K-RC?qs=sGAEpiMZZMsPqMdJzcrNwi5wZazroUaaviDzz9InDsw%3D 2.7K],,15,1,U6,[http://ww1.microchip.com/downloads/en/devicedoc/11003L.pdf 2764]
6,1,R2,[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 1M],,16,1,U7,[http://www.ti.com/lit/gpn/sn74LS32 74LS32]
7,1,R3,[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 1K],,17,1,U8,[https://www.mouser.com/c/?q=DS1813-5 DS1813-5]
8,1,Y1,[https://www.mouser.com/ProductDetail/815-ABL-7.3728-B2 7.3728 MHz],,18,1,J1,[https://www.mouser.com/ProductDetail/649-D09P13B4PA00LF DB9_Male]
9,1,SW1,SW_Push,,19,1,J2,JUMPER (1X3)
10,1,U1,[http://www.ti.com/lit/ds/symlink/max232.pdf MAX232],,20,1,J3,"HEADER, STRT, 1X6"
,,,,,21,1,J4,"HEADER, STRT, 2X4"
