Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,1,BT1,Battery_Cell,,14,1,U1,Z80CPU
2,11,"C1-C3, C5, C6, C11-C16",0.1uF (0805),,15,1,U2,AS6C4008
3,4,"C4, C7, C8, C10",1uF (0805),,16,1,U3,4.9152 MHz
4,1,C9,0.001uF (0805),,17,1,U4,CY8C5267AXI-LP051
5,2,"C18, C19",18pF (0805),,18,1,U5,[http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf MCP23017_SP]
6,1,D1,LED,,19,1,H1,"Header, Right ang, 1x5"
7,1,L1,HZ0805E601R-10 (0805),,20,1,H2,"Header, Right ang, 1x4"
8,2,"R1, R10",10K (0805),,21,2,"H3, H4","Header, Right ang, 1x6"
9,3,"R2, R3, R4",2.2K (0805),,22,1,Y1,32.768KHz
10,1,R5,100 (0805),,23,1,J1,[ ~ USB_B]
11,1,R6,3.9K (0805),,24,2,"J2, J3","Header, Strt, 1x12"
12,1,R7,330 (0805),,25,1,J4,"Header, Right ang, 1x2"
13,2,"R8, R9",22 (0805),,26,1,J5,"Header, Strt, 2x20"
