Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,3,"R1, R6, R12",10K,,11,3,Q1-Q3,[https://www.onsemi.com/pub/Collateral/2N3903-D.PDF 2N3904]
2,1,R2,22K,,11,1,DS1,"LED, 5MM"
3,4,"R3, R5, R7, R10",4.7K,,12,3,"RV1, RV2, RV4",A1M
4,1,R4,1M,,13,1,RV3,B10K
5,3,"R8, R9, R11",100,,14,1,U1,[https://store.synthrotek.com/TL072P-Op-Amp_p_418.html TL072]
6,5,D1-D5,1N4148,,15,1,U2,LM555N
7,1,C1,10nF,,16,1,J1,[https://store.synthrotek.com/10-Pin_Keyed_Shrouded_Eurorack_Power_Header Conn_02x05]
8,1,C2,10uF,,17,2,"J2, J3",[https://www.taydaelectronics.com/pj-301bm-3-5-mm-mono-phone-jack.html PJ-301BM]
9,1,C3,1uF,,,,,
10,3,C4-C6,0.1uF,,,,,
