"Find","Qty","Ref Des","Part Number"
"1","1","C1","10nF"
"2","1","C2","10uF"
"3","1","C3","1uF"
"4","3","C4, C5, C6","0.1uF"
"5","5","D1, D2, D3, D4, D5","1N4148"
"6","1","DS1","LED"
"7","1","J1","[https://store.synthrotek.com/10-Pin_Keyed_Shrouded_Eurorack_Power_Header Conn_02x05]"
"8","2","J2, J3","[https://www.taydaelectronics.com/pj-301bm-3-5-mm-mono-phone-jack.html PJ-301BM]"
"9","3","Q1, Q2, Q3","[https://www.onsemi.com/pub/Collateral/2N3903-D.PDF 2N3904]"
"10","3","R1, R6, R12","10K"
"11","1","R2","22K"
"12","4","R3, R5, R7, R10","4.7K"
"13","1","R4","1M"
"14","3","R8, R9, R11","100"
"15","3","RV1, RV2, RV4","A1M"
"16","1","RV3","B10K"
"17","1","U1","[https://store.synthrotek.com/TL072P-Op-Amp_p_418.html TL072]"
"18","1","U2","LM555N"
