"Find","Qty","Ref Des","Part Number"
"1","2","C1, C2","0.1uF"
"2","1","D1","BAT41"
"3","7","J1, J2, J3, J4, J5, J6, J7","PJ398SM"
"4","2","J8, J9","PJ366ST"
"5","1","J10","HEADER, STRT, 1x10"
"6","1","J11","HEADER, STRT, 1x4"
"7","1","Q1","[https://www.onsemi.com/pub/Collateral/2N3903-D.PDF 2N3904]"
"8","5","R1, R6, R7, R8, R14","1K"
"9","7","R2, R3, R4, R5, R9, R12, R13","220"
"10","1","R10","680"
"11","1","R11","4.7K"
"12","1","RV1","B100K"
"13","1","U5","[http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf 6N138]"
