"Find","Qty","Ref Des","Part Number"
"1","2","C1, C2","0.1uF"
"2","2","C3, C4","10uF"
"3","1","C5","470pF"
"4","2","D1, D2","BAT41"
"5","6","J1, J2, J3, J4, J5, J6","PJ-301BM"
"6","1","J8","[https://store.synthrotek.com/10-Pin_Keyed_Shrouded_Eurorack_Power_Header Conn_02x05]"
"7","6","R1, R2, R3, R4, R5, R7","100K"
"8","1","R8","22K"
"9","1","R9","4.7K"
"10","1","R10","1K"
"11","6","RV1, RV2, RV3, RV4, RV5, RV6","B100K"
"12","1","U1","[https://store.synthrotek.com/TL072P-Op-Amp_p_418.html TL072]"
