POINT,FUNCTION,REV 1 CONN,SHOULD BE ,NOTE
J1-T,AUDIO IN,OK,OK,
J2-T,CV1 IN,"J2-5, J2-8, J3-4. R21-1, R3-1",RV4-3,
J3-T,AVERT IN,NONE,"POT2-3,R21-?",
J4-T,AUDIO OUT,NONE,R3-1 (TOWARDS EDGE),
RV2-1,ATVERT POT,"J2-5, J2-8, J3-4. R21-1, R3-1",GND,
RV2-2,ATVERT POT,OK,OK,
RV2-3,ATVERT POT,GND,J3-T,
RV4-1,CV1 IN POT,J2-T,GND,
RV4-2,CV1 IN POT,OK,OK,
RV4-3,CV1 IN POT,GND,J2-T,
RV5-1,RESON POT,"J2-11, R6-2, U1-1, U1-3",GND,
RV5-2,RESON POT,OK,OK,
RV5-3,RESON POT,NONE,"J2-11, R6-2, U1-1, U1-3",
RV6-1,CUT OFF FREQ,NONE,GND,
RV6-2,CUT OFF FREQ,"J2-3, R2-1",OK,
RV6-3,CUT OFF FREQ,NONE,+12V,
NOTES,,,,
1,CUT FREE J2-7 (NODE: POT4-3=GND),,,
2,CUT FREE J2-10 (NODE: POT2-3=GND),,,
3,CUT J3-4 (BOTH SIDES NODE J2-T),,,
4,CUT J2-5 TO J2-6,,,
5,ADD J3-4 TO U2-7 (NODE POT4-3),,,
6,LIFT R3-1 (TOWARDS EDGE),,,
