"Find","Qty","Ref Des","Part Number"
"1","1","A1","[http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf Arduino_Nano_v3.x]"
"2","7","C1, C2, C3, C4, C5, C6, C14","0.1uF"
"3","1","C7","10uF"
"4","1","C8","47uF"
"5","5","C9, C10, C11, C12, C13","CP"
"6","1","C15","10nF"
"7","1","C16","4.7nF"
"8","11","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11","BAT41"
"9","1","J1","Conn_01x10"
"10","1","J2","Conn_01x05"
"11","1","J3","Conn_01x06"
"12","1","J7","PROTO02_JACKS"
"13","1","J8","PROTO02_POTS"
"14","1","J9","CONN, IDC, 2X5"
"15","1","J10","Conn_01x16"
"16","5","R1, R3, R5, R7, R12","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D RS]"
"17","5","R2, R4, R6, R8, R13","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D RP]"
"18","2","R9, R10","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 1M]"
"19","2","R11, R14","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 3.9K]"
"20","1","R15","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 10]"
