"Find","Qty","Ref Des","Part Number"
"1","1","D1","BAT41"
"2","2","J1, J2","[http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf DIN-5]"
"3","1","J3","HEADER, RIGHT ANG, 1x5"
"4","1","J4","HEADER, STRT, 1x2"
"6","1","Q1","[https://www.onsemi.com/pub/Collateral/2N3903-D.PDF 2N3904]"
"7","3","R1, R4, R5","[https://www.mouser.com/ProductDetail/Xicon/299-220-RC?qs=MNX0Jdkv8mSgBtBJYBhvZQ%3D%3D 220]"
"8","1","R2","[https://www.mouser.com/ProductDetail/Xicon/299-10K-RC?qs=qNdDiqE2HS9kugz4oNhLDw%3D%3D 10K]"
"9","1","R3","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 2.2K]"
"10","1","U1","[https://www.mouser.com/ProductDetail/595-SN74HC14AN 74HC14]"
"11","1","U2","[https://www.mouser.com/ProductDetail/Vishay-Semiconductors/CNY17-4X006?qs=%2Fjqivxn91ccVZaHNJrlaNA%3D%3D CNY17-4X006]"
