"Find","Qty","Ref Des","Part Number"
"1","2","C1, C2","[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 0.1uF]"
"2","2","C3, C4","[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 10uF]"
"3","7","J1, J2, J3, J4, J5, J6, J7","[https://www.taydaelectronics.com/pj-301bm-3-5-mm-mono-phone-jack.html PJ-301BM]"
"4","1","J8","[https://store.synthrotek.com/10-Pin_Keyed_Shrouded_Eurorack_Power_Header Conn_02x05]"
"5","7","R1, R2, R3, R4, R5, R6, R7","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 100K]"
"6","1","R8","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 22K]"
"7","1","R9","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 4.7K]"
"8","1","R10","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 1K]"
"9","7","RV1, RV2, RV3, RV4, RV5, RV6, RV7","10K"
"10","1","U1","[https://store.synthrotek.com/TL072P-Op-Amp_p_418.html TL072]"
