Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,4,"C1, C9-C11",[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 10uF],,17,1,SW1,SW_Push
2,2,"C2, C3",[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 10nF],,18,2,"SW2, SW4",SW_SPDT_MSM
3,3,"C4, C5, C7",[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 0.01uF],,19,1,U1,[http://www.ti.com/lit/ds/symlink/tl071.pdf MCP6232]
4,2,"C6, C8",[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 0.1uF],,20,1,U2,XIAO_RP2040
5,8,D1-D8,BAT41,,21,1,U3,AZ1117-5
6,1,R1,[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 330],,22,1,H1,Conn_01x02
7,1,R2,[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 5.6K],,23,4,"J1, J2, J3, J4",[https://store.synthrotek.com/3_point_5mm_Vertical_Mount_Jacks PJ-301B]
8,1,R3,[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 2.7K],,24,1,J5,[https://store.synthrotek.com/10-Pin_Keyed_Shrouded_Eurorack_Power_Header Conn_02x05]
9,2,"R4, R5",[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 220],,,,,
10,1,R6,[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D DNP],,,,,
11,2,"R7, R9",[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 220K],,,,,
12,2,"R8, R10",[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 330K],,,,,
13,2,"R11, R12",[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 1K],,,,,
14,1,R13,[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 22K],,,,,
15,1,R14,[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 33K],,,,,
16,2,"RV1, RV2",10K,,,,,
