Reference, Quantity, Value, Footprint, Datasheet,Part #,Part Page
C1 ,1,10nF,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,MMK5103K50J01L4BULK,
C2 ,1,10uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,UVR1E100MDD1TD,
C3 ,1,1uF*,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,ESC105M050AC3AA,
C4 C5 ,2,100uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,~,ESH107M010AC3AA,
C6 C7 ,2,100nF,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,~,R82DC3100AA50K,
D1 D2 D3 D4 D5 ,5,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,1N4148,
D6 ,1,PWR_LED,LED_THT:LED_D3.0mm,~,,
D7 ,1,OUTPUT_LED,LED_THT:LED_D3.0mm,~,,
J1 ,1,INPUT,benjiaomodular:AudioJack_3.5mm,~,,
J2 ,1,OUTPUT,benjiaomodular:AudioJack_3.5mm,~,,
J3 ,1,JST_BUS,Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,~,,
J4 ,1,ControlBoard_Pins,Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical,~,,
J5 ,1,IDC_BUS,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,~,,
J6 ,1,MainBoard_Pins,Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical,~,,
POT_ATTACK1 POT_RELEASE1 POT_DECAY1 ,3,1M,benjiaomodular:Potentiometer_RV09,~,RV09AF-40-20K-B1M,
POT_SUSTAIN1 ,1,10K,benjiaomodular:Potentiometer_RV09,~,RV09AF-40-20K-B10K,
Q1 Q2 Q3 ,3,BC547,Package_TO_SOT_THT:TO-92_Inline_Wide,https://www.onsemi.com/pub/Collateral/BC550-D.pdf,BC547CTFR,
R1 R5 R11 R12 ,4,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~,MF1/4DC1002F,
R2 R4 R6 R9 ,4,4.7k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~,MFR-25FTE52-4K7,
R3 ,1,22k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~,MF1/4DCT52R2202F,
R7 R8 R10 ,3,100R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~,MFR-25FTE52-100R,
U1 ,1,LM555xN,Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/lm555.pdf,LM555CN/NOPB,
U2 ,1,TL072,Package_DIP:DIP-8_W7.62mm,http://www.ti.com/lit/ds/symlink/tl071.pdf,TL072BCP,
