"Find","Qty","Ref Des","Part Number"
"1","3","C1, C2, C3","[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 10uF]"
"2","1","C4","[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 220pF]"
"3","9","D1, D2, D3, D4, D5, D6, D7, D8, D9","BAT41"
"4","2","DS1, DS2","LED"
"5","1","H1","Conn_01x02"
"6","1","J1","Conn_02x08_Odd_Even"
"7","4","J2, J3, J5, J7","[https://www.mouser.com/ProductDetail/490-SJ1-3523N AudioJack3]"
"8","2","J4, J6","[http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf DIN-5]"
"10","1","Q1","[https://www.onsemi.com/pub/Collateral/2N3903-D.PDF 2N3904]"
"11","1","R1","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 4.7K]"
"12","3","R2, R3, R6","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 1K]"
"13","2","R4, R7","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 22K]"
"14","5","R5, R8, R12, R13, R14","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 220]"
"15","2","R9, R15","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 2.7K]"
"16","2","R10, R16","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 5.6K]"
"17","1","R11","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 10K]"
"18","1","RV1","100K"
"19","1","U1","AZ1117-5"
"20","1","U2","XIAO_RP2040"
"21","1","U3","[https://www.mouser.com/ProductDetail/Vishay-Semiconductors/CNY17-4X006?qs=%2Fjqivxn91ccVZaHNJrlaNA%3D%3D CNY17-4X006]"
"22","1","U4","[https://www.mouser.com/ProductDetail/595-SN74HC14AN 74HC14]"
"23","1","U5","MCP6232"
"24","1","U6","[http://ww1.microchip.com/downloads/en/DeviceDoc/20002249B.pdf MCP4822-E/P]"
