Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,1,R1,[https://www.mouser.com/ProductDetail/Xicon/299-2.7K-RC?qs=vtYfS42NOfUyY19ul2jqBQ%3D%3D 2.7K],,15,2,"RV1, RV2",10K
2,1,R2,[https://www.mouser.com/ProductDetail/Xicon/299-5.6K-RC?qs=ck9SSO%252BOQ2aKurax%2FhHA9Q%3D%3D 5.6K],,16,5,SW1-SW5,"SW, PB, 6MM"
3,2,"R3, R7",[https://www.mouser.com/ProductDetail/Xicon/299-1K-RC?qs=LFVzBv9lGv703mrPrUE94Q%3D%3D 1K],,17,1,U1,[https://www.mouser.com/ProductDetail/621-AZ1117H-5.0TRG1 AZ1117-5]
4,1,R4,[https://www.mouser.com/ProductDetail/Xicon/299-330-RC?qs=toAOiZ7FbsfND09p2z0s7Q%3D%3D 330],,18,1,U2,[https://www.mouser.com/ProductDetail/Microchip-Technology-Atmel/MCP6231-E-P?qs=gZwDaUDMhIfJIVq4F%252Btnbg%3D%3D MCP6231]
5,2,"R5, R8",[https://www.mouser.com/ProductDetail/Xicon/299-220-RC?qs=MNX0Jdkv8mSgBtBJYBhvZQ%3D%3D 220],,19,1,U3,[https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html XIAO RP2040]
6,1,R6,DNP,,20,1,H1,JUMPER_2
7,2,"R9, R11",[https://www.mouser.com/ProductDetail/Xicon/299-220K-RC?qs=64PH99Wi09%2FYqCfJgU0f0w%3D%3D 220K],,21,1,J1,"[https://store.synthrotek.com/16-Pin_Keyed_Shrouded_Eurorack_Power_Header HEADER, 2X8]"
8,2,"R10, R12",[https://www.mouser.com/ProductDetail/Xicon/299-330K-RC?qs=2FJBUQWx%252B3l8ydtJNzu2xg%3D%3D 330K],,22,4,J2-J5,[https://www.mouser.com/ProductDetail/490-SJ1-3523N AudioJack3]
9,1,R13,[https://www.mouser.com/ProductDetail/Xicon/299-22K-RC?qs=TIe0t8ne477uPubRcnOArw%3D%3D 22K],,,,,
10,1,R14,[https://www.mouser.com/ProductDetail/Xicon/299-33K-RC?qs=33VvRrBYlfL73DHymUL5Hg%3D%3D 33K],,,,,
11,8,D1-D8,[https://www.mouser.com/ProductDetail/511-BAT41 BAT41],,,,,
12,4,"C1, C2, C3, C9",[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 47uF],,,,,
13,5,"C4, C6, C8, C10, C11",[https://www.mouser.com/ProductDetail/594-K103K10X7RF53L2 10nF],,,,,
14,2,"C5, C7",[https://www.mouser.com/ProductDetail/75-1C10Z5U104M050B 0.1uF],,,,,
