Find,Qty,Ref Des,Part Number
1,1,C1,[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 47uF]
2,3,"C4, C5, C7",[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 0.01uF]
3,2,"C6, C8",[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 0.1uF]
4,6,D3-D8,BAT41
5,4,J1-J4,[https://store.synthrotek.com/3_point_5mm_Vertical_Mount_Jacks PJ-301BM]
6,1,J5,Conn_01x16
8,1,R1,330
9,2,"R7, R9",220K
10,2,"R8, R10",330K
11,2,"R11, R12",1K
12,1,R13,22K
13,1,R14,33K
14,2,"RV1, RV2",10K
15,1,SW1,SW_Push
16,2,"SW2, SW4",SW_SPDT_MSM
