Qty,Manufacturer,ManufacturerPN,Value,Footprint,Mouser Part Number,Price 1,Ext $,Price 1,Ext $
7,Vishay,1C10Z5U104M050B,0.1uF,C1,75-1C10Z5U104M050B,$0.10,$0.70,$0.07,$0.51
2,LELON,REA100M1EBK-0511P,47uF,C1V5,140-REA100M1EBK0511P,$0.10,$0.20,$0.08,$0.16
1,FAIRCHILD,1N4004,1N4004,D4,,$0.11,$0.11,$0.04,$0.04
1,FCI,69190-403,CONN_3,PIN_ARRAY_3X1,649-69190-403,$0.14,$0.14,$0.01,$0.01
1,3m,929836-09-03,CONN_3X2,PIN_ARRAY_3X2,517-929836-09-03,$1.03,$1.03,$0.02,$0.02
1,FCI,68602-404HLF,CONN_4,PIN_ARRAY_4X1,649-68602-404HLF,$0.22,$0.22,$0.02,$0.02
1,FCI,68602-406HLF,CONN_6,PIN_ARRAY-6X1,649-68602-406HLF,$0.20,$0.20,$0.02,$0.02
4,PHOENIX CONTACT,1935226,CONN_2,TB8-5MM,651-1935226,$1.28,$5.12,$0.24,$0.96
1,KOBICONN,163-179PH-EX,JACK-3.5MM,JACK_2.1MM,163-179PH-EX,$1.04,$1.04,$0.15,$0.15
3,VISHAY,CMF5510K000FKEK,10K,R3-5,71-CMF5510K000FKEK,$0.11,$0.33,$0.08,$0.24
1,E-SWITCH,TL1105DF100Q,SW_PUSH_OMRON,SW-PB-1MM,612-TL1105DF100Q,$0.19,$0.19,$0.17,$0.17
1,TI,TLV1117-50CDCYR,AP1117,SOT223,,$0.64,$0.64,$0.51,$0.51
1,ATMEL,ATMEGA328P-PU,ATMEGA328-P,DIP-28__300_ELL,556-ATMEGA328P-PU,$3.55,$3.55,$2.49,$2.49
1,MURATA,CSTLS16M0X51-A0,16MHz Reson,RESON_3PIN,81-CSTLS16M0X51-A0,$0.42,$0.42,$0.31,$0.31
1,PWB,,,,,$2.00,$2.00,$1.40,$1.40
,,,,,,,,,
,,,,,,,$15.89,,$7.02
