Qty,Manufacturer,ManufacturerPN,Value,Footprint
7,Vishay,1C10Z5U104M050B,0.1uF,C1
2,LELON,REA100M1EBK-0511P,47uF,C1V5
1,FAIRCHILD,1N4004,1N4004,D4
1,FCI, 69190-403 ,CONN_3,PIN_ARRAY_3X1
1,3m,929836-09-03 ,CONN_3X2,PIN_ARRAY_3X2
1,FCI, 68602-404HLF ,CONN_4,PIN_ARRAY_4X1
1,FCI,68602-406HLF,CONN_6,PIN_ARRAY-6X1
32,PHOENIX CONTACT,1935226,CONN_2,TB8-5MM
1,KOBICONN, 163-179PH-EX,JACK-3.5MM,JACK_2.1MM
3,VISHAY, CMF5510K000FKEK ,10K,R3-5
1,E-SWITCH,TL1105DF100Q ,SW_PUSH_OMRON,SW-PB-1MM
1,TI,TLV1117-50CDCYR,AP1117,SOT223
1,ATMEL,ATMEGA328P-PU,ATMEGA328-P,DIP-28__300_ELL
1,MURATA, CSTLS16M0X51-A0,16MHz Reson,RESON_3PIN
