Qty,Value,RefDes,Footprint,Manufacturer,ManufacturerPN,Vendor,VendorPN
5,0.1uF,",C2,C3,C4,C5",SM0805,N/A,N/A,N/A,N/A
1,10uF,C6,SM1206,N/A,N/A,N/A,N/A
1,CONN_2,H1,PIN_ARRAY_2X1,N/A,N/A,N/A,N/A
1,CONN_3X2,H2,pin_array_3x2,N/A,N/A,N/A,N/A
1,DCJ0202,J1,JACK_2.1MM,N/A,N/A,N/A,N/A
4,CONN_1,"MTG1,MTG2,MTG3,MTG4",MTG-4-40,N/A,N/A,N/A,N/A
12,CONN_10,"P1,P10,P11,P12,P2,P3,P4,P5,P6,P7,P8,P9",PIN_ARRAY-10X1,N/A,N/A,N/A,N/A
1,10K,R1,SM0805,N/A,N/A,N/A,N/A
1,AP1117,U2,SOT223,N/A,N/A,N/A,N/A
1,ATTINY85,U1,DIP-8__300,N/A,N/A,N/A,N/A
