18pF,2,"C7 C8",SM0805,Mouser,140-CC501N180J-RC 
0.1uF,3,"C2 C3 C4",SM0805,Mouser,581-08055C104KAT9A 
1uF,2,"C1 C6",SM0805,Mouser,77-VJ0805Y105MXQTBC
10uF,1,"C5",SM1210,Mouser,581-0805YD106K 
LED,2,"DS2 DS3",LED-0805,Mouser,859-LTST-C170KRKT
LED2C_CA,1,"DS1",SOT23,Lumex,SML-LX15IGC-TR,Mouser,696-SML-LX15IGC-TR
FUSE,1,"F1",SM1206,Cooper Bussman,PTS120615V050,Mouser,504-PTS120615V050
FIDUCIAL,2,"FID1 FID2",FIDUCIAL
JST_2,1,"J3",JST-2-SMT,JST Sales America,S2B-PH-SM4-TB(LF)(SN),Digi-Key,S2B-PH-SM4-TB(LF)(SN)
HDR2,2,"J4 J5",PIN_ARRAY_2X1,Mouser,649-93287-202HLF
USB-B,1,"J1",USB-B-MINI,Mouser,798-UX60SC-MB-5ST80
CONN_1,1,"MTG1",MTG-2.5MM
CONN_6,1,"P1",PIN_ARRAY-6X1
22,2,"R3 R4",SM0805,Mouser,260-22-RC 
150,2,"R9 R10",SM0805,Mouser,260-150-RC
470,2,"R1 R2",SM0805,Mouser,652-CR0805JW-471ELF 
2.2K,1,"R5",SM0805,Mouser,260-2.2K-RC
10K,2,"R7 R8",SM0805,Mouser,260-10K-RC
10K,1,"R11",SM0805
NTC,1,"R6",SM0603,Mouser,667-ERT-J1VG103JA 
OPEN,1,"R12",SM0805
SWITCH_INV,1,"SW1",PIN_ARRAY_2X1
FGPMMOPA6H,1,"U3",FGPMMOPA6H,G-Top,Custom
MCP73833,1,"U1",MSOP10-0.5,Mouser,579-MCP73833-AMI/UN
ATMEGA32U4-AU,1,"U2",TQFP44,Mouser,556-ATMEGA32U4-AU
8MHz,1,"X1",Crystal_HC49-SD_SMD_RevA_09Aug2010,Mouser,774-ATS080CSM-1E
