          0.1uF,  3,         SM0805,"C5, C6, C7"
            10K,  5,         SM0805,"R4, R6, R9, R10, R11"
           10uF,  1,         SM1210,"C4"
            150,  2,         SM0805,"R5, R12"
           18pF,  2,         SM0805,"C2, C3"
            1uF,  2,         SM0805,"C1, C8"
           2.2K,  1,         SM0805,"R7"
             22,  2,         SM0805,"R1, R2"
            270,  1,         SM0805,"R3"
           8MHz,  1,Crystal_HC49-SD_SMD_RevA_09Aug2010,"X1"
  ATMEGA32U4-AU,  1,         TQFP44,"U3"
         CONN_1,  4,       MTG-4-40,"MTG1, MTG2, MTG3, MTG4"
         CONN_2,  1,  PIN_ARRAY_2X1,"J3"
     FGPMMOPA6H,  1,     FGPMMOPA6H,"U2"
           FUSE,  1,         SM1206,"F1"
           HDR2,  1,  PIN_ARRAY_2X1,"SJ1"
          JST_2,  1,adafruit-JST-PH-2-SMT,"J2"
            LED,  3,       LED-0805,"DS1, DS2, DS3"
       MCP73833,  1,     MSOP10-0.5,"U1"
            NTC,  1,         SM0805,"R8"
          USB-B,  1,     USB-B-MINI,"J1"
